,loyalty_number,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month
20,413741,Ontario,Toronto,M1R 4K3,Female,College,72213.20119899217,Married,Star,3885.46,Standard,2015,7,,
21,552965,Quebec,Montreal,H4G 3T4,Male,College,65318.742606410255,Married,Star,3885.46,Standard,2018,11,,
22,642313,Alberta,Edmonton,T9G 1W3,Male,College,63742.1721290127,Married,Star,3885.46,Standard,2016,3,,
23,263080,Alberta,Edmonton,T9G 1W3,Male,College,67047.82292953508,Single,Star,3886.5,Standard,2014,5,,
24,109767,Ontario,Toronto,M1R 4K3,Female,Bachelor,89062.0,Single,Star,3886.65,Standard,2016,5,,
25,217754,Quebec,Montreal,H2Y 4R4,Female,Bachelor,102400.0,Single,Star,3887.32,Standard,2015,6,,
26,157005,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,98629.0,Married,Star,3890.87,Standard,2016,10,,
27,557752,Ontario,Toronto,P1L 8X8,Female,Bachelor,98629.0,Married,Star,3890.87,Standard,2017,10,,
28,608758,Ontario,Ottawa,K1F 2R2,Male,Bachelor,63795.0,Married,Star,3890.96,Standard,2013,7,,
29,599341,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,54890.0,Married,Star,3891.54,Standard,2015,11,,
30,333502,British Columbia,Vancouver,V5R 1W3,Male,College,65928.57299875932,Married,Star,3891.58,Standard,2014,3,,
31,201574,Ontario,Ottawa,K1F 2R2,Female,Bachelor,51375.0,Married,Star,3893.31,Standard,2015,4,2015.0,12.0
32,403361,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,70222.0,Single,Star,3895.03,Standard,2017,10,,
33,543918,Quebec,Montreal,H2T 2J6,Male,High School or Below,40736.0,Married,Star,3896.57,Standard,2012,11,,
34,806030,Alberta,Calgary,T3E 2V9,Female,Bachelor,75861.0,Married,Star,3903.47,Standard,2018,5,,
35,119200,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,69835.0,Divorced,Star,3903.8,Standard,2017,5,,
36,938981,Alberta,Edmonton,T3G 6Y6,Female,College,63066.13002282851,Single,Aurora,5337.35,2018 Promotion,2018,4,,
37,238119,Quebec,Montreal,H2T 9K8,Male,Bachelor,75980.0,Married,Star,3906.67,Standard,2013,5,,
38,730388,Ontario,Thunder Bay,K8T 5M5,Male,College,62152.855150098505,Single,Star,3907.03,Standard,2012,5,,
39,834891,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,54460.0,Married,Star,3911.12,Standard,2017,3,2017.0,4.0
40,127400,British Columbia,Whistler,V6T 1Y8,Female,College,61314.44598867538,Single,Star,3914.72,Standard,2014,6,,
41,324557,Quebec,Montreal,H2Y 2W2,Female,College,71191.88737606909,Single,Star,3914.72,Standard,2013,2,,
42,742002,Ontario,Toronto,P2T 6G3,Female,College,68223.8935774694,Single,Star,3915.8,Standard,2016,5,,
43,536567,Alberta,Peace River,T9O 2W2,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,5,,
44,704835,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,9,,
45,733338,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,6,2017.0,2.0
46,758635,Quebec,Montreal,H2T 9K8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,6,,
47,823048,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,5,,
48,612905,Ontario,Toronto,P2T 6G3,Female,College,64123.57320603047,Married,Star,3920.51,Standard,2015,2,,
49,679908,Quebec,Montreal,H4G 3T4,Female,Bachelor,77601.0,Married,Star,3921.02,Standard,2015,8,,
50,704150,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,77601.0,Married,Star,3921.02,Standard,2014,10,,
51,869743,Ontario,Sudbury,M5V 1G5,Female,Bachelor,73236.0,Single,Star,3924.42,Standard,2016,11,2017.0,7.0
52,596179,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,50879.0,Single,Star,3933.81,Standard,2014,3,,
53,370450,Ontario,Thunder Bay,K8T 5M5,Female,High School or Below,62160.0,Married,Star,3934.1,Standard,2012,11,,
54,501030,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,93541.0,Married,Star,3934.71,Standard,2017,3,,
55,878633,Ontario,Trenton,K8V 4B2,Female,Doctor,163974.0,Married,Star,3936.79,Standard,2013,12,,
56,285938,Quebec,Montreal,H2T 2J6,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2014,9,,
57,588237,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2013,11,,
58,645280,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2012,12,,
59,864324,Quebec,Quebec City,G1B 3L5,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2018,6,,
60,124678,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2013,6,,
61,186015,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,9,,
62,461108,Quebec,Montreal,H2T 9K8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2018,10,,
63,589580,British Columbia,Whistler,V6T 1Y8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,8,,
64,623688,Ontario,London,M5B 3E4,Female,Doctor,152955.0,Married,Star,3954.34,Standard,2016,5,,
65,386082,Alberta,Edmonton,T9G 1W3,Female,Bachelor,30486.0,Divorced,Aurora,5391.97,2018 Promotion,2018,3,2018.0,11.0
66,256147,Ontario,Toronto,M1R 4K3,Female,College,68233.81621765494,Married,Star,3958.0,Standard,2012,9,,
67,329382,Quebec,Montreal,H2T 9K8,Male,College,67407.69671983806,Single,Star,3961.59,Standard,2012,8,,
68,140392,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,96814.0,Married,Star,3963.39,Standard,2013,7,,
69,112522,Alberta,Peace River,T9O 2W2,Male,Bachelor,49846.0,Married,Aurora,5636.74,2018 Promotion,2018,2,,
70,230908,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,217538.0,Divorced,Star,3964.15,Standard,2012,5,,
71,972581,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,48744.0,Married,Star,3964.53,Standard,2016,2,,
72,357549,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,76410.0,Single,Star,3964.73,Standard,2018,9,,
73,330694,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,105053.0,Married,Aurora,6172.91,2018 Promotion,2018,2,,
74,910875,Quebec,Hull,J8Y 3Z5,Female,Bachelor,84914.0,Married,Star,3966.13,Standard,2012,11,,
75,501704,Quebec,Hull,J8Y 3Z5,Male,College,63334.02845583326,Divorced,Star,3974.86,Standard,2013,5,,
76,529098,British Columbia,Vancouver,V6E 3Z3,Female,College,62520.00452934977,Divorced,Star,3974.86,Standard,2017,10,,
77,265297,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,60519.0,Married,Star,3978.67,Standard,2018,7,,
78,567875,Quebec,Quebec City,G1B 3L5,Female,Bachelor,102457.0,Married,Star,3979.72,Standard,2017,5,,
79,688524,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,103862.0,Married,Star,3980.42,Standard,2013,3,,
80,269070,British Columbia,Vancouver,V6E 3Z3,Male,Master,93153.0,Married,Star,3985.32,Standard,2013,1,,
81,387705,Quebec,Hull,J8Y 3Z5,Female,Master,93153.0,Married,Star,3985.32,Standard,2013,4,,
82,923293,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,86793.0,Divorced,Star,3985.55,Standard,2016,6,,
83,283314,Ontario,Toronto,M2Z 4K1,Female,Bachelor,72127.0,Married,Star,3991.73,Standard,2013,4,2015.0,2.0
84,322102,British Columbia,Vancouver,V5R 1W3,Male,College,71114.82173678285,Married,Star,3992.58,Standard,2013,8,2014.0,4.0
85,789157,British Columbia,Vancouver,V6E 3Z3,Female,College,63257.20528537589,Single,Star,3995.36,Standard,2018,9,,
86,654748,Ontario,Ottawa,K1F 2R2,Female,Bachelor,65721.0,Married,Star,3996.77,Standard,2017,4,2017.0,12.0
87,984713,Ontario,Sudbury,M5V 1G5,Female,College,71032.65692993159,Single,Star,3997.48,Standard,2018,8,,
88,114835,Ontario,Toronto,M1R 4K3,Female,Master,101354.0,Divorced,Star,4001.52,Standard,2017,7,,
89,328936,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,53118.0,Married,Star,4005.72,Standard,2015,3,,
90,845864,British Columbia,Vancouver,V5R 1W3,Female,Doctor,115440.0,Married,Star,4013.85,Standard,2013,4,,
91,645265,Quebec,Quebec City,G1B 3L5,Male,Bachelor,73313.0,Married,Star,4013.95,Standard,2013,3,,
92,223587,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,100167.0,Married,Star,4013.96,Standard,2017,8,,
93,158560,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2015,12,,
94,417584,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2014,5,,
95,566033,Ontario,Toronto,M2P 4F6,Male,College,67653.52939537562,Married,Star,4015.21,Standard,2015,6,2016.0,7.0
96,472521,Alberta,Edmonton,T9G 1W3,Male,College,72045.73860757225,Married,Aurora,6265.34,2018 Promotion,2018,3,,
97,425854,Ontario,Toronto,P1J 8T7,Female,High School or Below,39079.0,Married,Star,4016.13,Standard,2016,11,,
98,174896,Alberta,Edmonton,T3G 6Y6,Female,College,66384.13819113154,Single,Star,4016.54,Standard,2015,4,2015.0,12.0
99,695855,Quebec,Montreal,H2T 2J6,Female,College,69372.41559981297,Divorced,Star,4019.38,Standard,2013,4,,
100,699511,British Columbia,West Vancouver,V6V 8Z3,Female,College,70437.48787541372,Divorced,Star,4019.38,Standard,2014,7,,
101,377322,Alberta,Edmonton,T9G 1W3,Female,Bachelor,62518.0,Married,Star,4023.81,Standard,2016,5,,
102,511053,Ontario,Toronto,M2M 7K8,Male,Bachelor,62518.0,Married,Star,4023.81,Standard,2015,3,,
103,890753,Quebec,Montreal,H2Y 2W2,Male,College,72094.77677470463,Married,Star,4025.1,Standard,2017,9,,
104,796670,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,47536.0,Married,Star,4035.68,Standard,2014,2,,
105,556136,Quebec,Montreal,H4G 3T4,Female,College,65118.666458749576,Married,Star,4035.77,Standard,2017,1,,
106,513081,Alberta,Edmonton,T9G 1W3,Female,Bachelor,98320.0,Married,Star,4037.5,Standard,2015,11,,
107,930718,Quebec,Montreal,H2T 2J6,Female,High School or Below,63577.0,Married,Star,4037.55,Standard,2015,7,,
108,235872,Ontario,Toronto,P1J 8T7,Female,Doctor,89057.0,Single,Star,4046.94,Standard,2013,3,,
109,881142,British Columbia,Vancouver,V1E 4R6,Female,Doctor,89057.0,Single,Star,4046.94,Standard,2016,9,2017.0,5.0
110,295147,British Columbia,Kelowna,V09 2E9,Male,Bachelor,99814.0,Married,Star,4048.16,Standard,2017,5,,
111,306110,Ontario,Toronto,P1J 8T7,Male,Bachelor,64587.0,Married,Star,4053.37,Standard,2013,5,,
112,295217,Ontario,Toronto,M1R 4K3,Female,Doctor,67411.0,Divorced,Star,4059.57,Standard,2016,6,,
113,967300,Alberta,Edmonton,T9G 1W3,Male,Bachelor,62630.0,Single,Aurora,6364.9,2018 Promotion,2018,3,2018.0,11.0
114,591731,Ontario,Toronto,P2T 6G3,Male,Bachelor,51370.0,Married,Star,4064.18,Standard,2013,9,,
115,326905,British Columbia,Vancouver,V5R 1W3,Female,College,66683.40298316337,Married,Star,4068.09,Standard,2017,2,,
116,375511,Quebec,Montreal,H2Y 2W2,Female,Bachelor,59300.0,Single,Star,4070.05,Standard,2014,7,,
117,485283,Ontario,Toronto,P1J 8T7,Male,Bachelor,102479.0,Single,Star,4072.85,Standard,2017,9,,
118,920716,Alberta,Peace River,T9O 2W2,Female,College,63096.81753005831,Single,Aurora,7098.91,2018 Promotion,2018,4,,
119,797685,Alberta,Edmonton,T3G 6Y6,Male,College,66691.73047993233,Married,Star,4079.13,Standard,2017,6,,
120,216467,New Brunswick,Fredericton,E3B 2H2,Male,Doctor,90995.0,Married,Star,4083.56,Standard,2014,7,,
121,958839,Quebec,Montreal,H4G 3T4,Male,Doctor,90995.0,Married,Star,4083.56,Standard,2018,8,,
122,539673,Ontario,Toronto,P5S 6R4,Female,Bachelor,49558.0,Married,Star,4087.51,Standard,2015,2,2018.0,6.0
123,746226,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,63501.0,Married,Star,4089.04,Standard,2018,1,,
124,484718,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,76367.0,Single,Star,4089.46,Standard,2012,6,,
125,528492,Quebec,Hull,J8Y 3Z5,Male,Bachelor,60360.0,Married,Star,4090.75,Standard,2015,6,2018.0,11.0
126,995091,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,55454.0,Married,Star,4095.2,Standard,2017,9,,
127,632793,Quebec,Hull,J8Y 3Z5,Female,High School or Below,60370.0,Single,Star,4097.37,Standard,2016,6,,
128,912220,British Columbia,Vancouver,V6E 3Z3,Male,High School or Below,60370.0,Single,Star,4097.37,Standard,2013,8,2014.0,4.0
129,382197,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,69367.0,Married,Star,4100.47,Standard,2017,10,2018.0,6.0
130,705196,British Columbia,Whistler,V6T 1Y8,Female,College,69896.1183890594,Single,Star,4101.94,Standard,2013,11,,
131,123094,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,92223.0,Married,Star,4103.85,Standard,2018,1,,
132,366540,Alberta,Calgary,T3E 2V9,Female,Bachelor,90077.0,Married,Aurora,7288.88,2018 Promotion,2018,3,,
133,119488,Quebec,Tremblant,H5Y 2S9,Female,College,68130.16874566898,Single,Star,4108.26,Standard,2017,6,,
134,287750,Ontario,Ottawa,K1F 2R2,Female,College,67833.67461163405,Single,Star,4109.31,Standard,2012,8,,
135,735846,Ontario,Trenton,K8V 4B2,Male,Bachelor,95318.0,Married,Star,4109.79,Standard,2012,8,,
136,606026,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,55207.0,Single,Star,4110.62,Standard,2015,7,,
137,460291,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,55476.0,Divorced,Star,4111.2,Standard,2015,9,,
138,743001,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,79533.0,Married,Star,4111.89,Standard,2017,5,,
139,869799,Ontario,Toronto,P1W 1K4,Female,Bachelor,79533.0,Married,Star,4111.89,Standard,2015,3,,
140,520321,Ontario,London,M5B 3E4,Female,Doctor,237245.0,Married,Star,4112.84,Standard,2015,9,2016.0,5.0
141,279419,British Columbia,West Vancouver,V6V 8Z3,Female,College,69693.57157126779,Single,Star,4117.37,Standard,2013,7,,
142,170585,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2013,8,,
143,188340,Ontario,Toronto,M2M 7K8,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2017,4,,
144,670817,Ontario,Ottawa,K1F 2R2,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2016,12,,
145,509513,British Columbia,Vancouver,V5R 1W3,Male,College,71490.82836202059,Single,Star,4121.25,Standard,2012,12,,
146,779247,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,86987.0,Married,Star,4122.57,Standard,2012,9,,
147,111255,Quebec,Hull,J8Y 3Z5,Male,High School or Below,70272.0,Married,Star,4122.96,Standard,2013,3,,
148,763061,Ontario,Toronto,P2T 6G3,Male,Bachelor,56845.0,Married,Star,4126.61,Standard,2014,4,,
149,766335,Alberta,Edmonton,T9G 1W3,Male,Bachelor,67756.0,Married,Aurora,7482.49,2018 Promotion,2018,2,,
150,428919,Quebec,Montreal,H2T 9K8,Female,Bachelor,58209.0,Divorced,Star,4139.9,Standard,2015,7,,
151,139863,Quebec,Montreal,H2T 9K8,Male,Bachelor,67223.0,Married,Star,4142.56,Standard,2015,10,,
152,695755,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,79088.0,Married,Star,4144.87,Standard,2012,4,,
153,355331,Ontario,Thunder Bay,K8T 5M5,Male,College,67048.26884781479,Divorced,Star,4145.02,Standard,2013,7,,
154,578837,Ontario,Toronto,P5S 6R4,Male,College,63828.61845554669,Single,Star,4152.65,Standard,2012,5,,
155,603248,British Columbia,Vancouver,V6E 3D9,Male,College,68849.94133467594,Married,Star,4157.7,Standard,2016,2,2016.0,10.0
156,467182,Alberta,Edmonton,T9G 1W3,Female,Bachelor,102347.0,Married,Star,4160.02,Standard,2013,12,2018.0,10.0
157,601407,Ontario,Toronto,M2M 7K8,Male,Bachelor,72809.0,Married,Star,4165.17,Standard,2015,9,,
158,700871,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,74567.0,Married,Star,4165.25,Standard,2015,12,,
159,203809,Alberta,Edmonton,T3G 6Y6,Female,High School or Below,54160.0,Married,Star,4165.35,Standard,2012,7,,
160,705589,Ontario,Toronto,P1L 8X8,Female,College,72482.89089870494,Single,Star,4165.99,Standard,2012,5,,
161,354438,Quebec,Montreal,H2T 2J6,Male,College,65324.41019809842,Married,Star,4167.09,Standard,2018,9,,
162,746060,British Columbia,Victoria,V10 6T5,Male,College,69238.474986396,Married,Star,4167.09,Standard,2014,4,,
163,469718,Ontario,Toronto,P1J 8T7,Male,Bachelor,73544.0,Married,Star,4167.42,Standard,2013,1,,
164,164429,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,57852.0,Single,Star,4169.36,Standard,2012,9,,
165,708373,Ontario,Toronto,M2P 4F6,Female,Bachelor,57852.0,Single,Star,4169.36,Standard,2017,3,,
166,225088,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,97991.0,Married,Star,4170.34,Standard,2015,9,,
167,100214,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,63253.0,Married,Star,4170.57,Standard,2015,8,,
168,459999,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,53465.0,Single,Star,4170.69,Standard,2017,9,,
169,553936,Ontario,Toronto,P1J 8T7,Female,Bachelor,53465.0,Single,Star,4170.69,Standard,2014,12,2015.0,8.0
170,268128,Ontario,Toronto,P1W 1K4,Female,High School or Below,47663.0,Married,Star,4177.88,Standard,2013,1,,
171,930584,British Columbia,Vancouver,V5R 1W3,Male,College,66315.68194634668,Single,Star,4185.76,Standard,2015,7,,
172,327796,Quebec,Quebec City,G1B 3L5,Male,College,63090.527077803505,Single,Star,4191.06,Standard,2017,6,,
173,947467,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,49937.0,Married,Star,4196.43,Standard,2015,2,,
174,743510,British Columbia,Vancouver,V6E 3D9,Male,College,69433.83995871586,Single,Star,4196.65,Standard,2016,5,,
175,580324,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,61113.0,Married,Star,4198.03,Standard,2013,6,,
176,845613,Quebec,Montreal,H2Y 4R4,Male,Bachelor,54297.0,Married,Star,4198.03,Standard,2018,10,,
177,645919,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,66297.0,Divorced,Aurora,7484.31,2018 Promotion,2018,3,,
178,423324,Quebec,Montreal,H2Y 2W2,Male,Bachelor,69599.0,Divorced,Star,4200.37,Standard,2017,12,,
179,101945,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,86098.0,Married,Star,4202.66,Standard,2013,11,,
180,713636,Ontario,London,M5B 3E4,Male,Doctor,48109.0,Married,Star,4212.8,Standard,2014,8,,
181,302509,British Columbia,Dawson Creek,U5I 4F1,Male,Doctor,74238.0,Married,Star,4213.92,Standard,2017,3,,
182,789421,British Columbia,Vancouver,V1E 4R6,Female,College,69354.13815354231,Single,Star,4217.86,Standard,2016,11,,
183,914255,Ontario,Toronto,M8Y 4K8,Male,College,72309.57814048397,Single,Star,4217.86,Standard,2015,11,2016.0,7.0
184,675879,Alberta,Edmonton,T3G 6Y6,Male,Bachelor,78617.0,Married,Aurora,8000.55,2018 Promotion,2018,2,,
185,404426,British Columbia,Vancouver,V6E 3D9,Female,Doctor,99696.0,Married,Star,4223.27,Standard,2014,9,,
186,260106,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,88876.0,Single,Star,4228.25,Standard,2013,6,2017.0,4.0
187,827194,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,71450.0,Married,Aurora,8255.76,2018 Promotion,2018,3,,
188,438023,British Columbia,West Vancouver,V6V 8Z3,Male,College,66371.7157244023,Married,Star,4228.73,Standard,2013,1,,
189,397518,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,76056.0,Married,Star,4235.18,Standard,2018,1,2018.0,9.0
190,645742,Ontario,Kingston,M9K 2P4,Male,Bachelor,76056.0,Married,Star,4235.18,Standard,2014,8,2015.0,8.0
191,872932,Quebec,Montreal,H2Y 2W2,Male,High School or Below,72685.0,Married,Star,4236.3,Standard,2015,3,,
192,407945,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,75108.0,Married,Star,4236.47,Standard,2012,12,,
193,211714,British Columbia,Vancouver,V6E 3Z3,Female,Doctor,103572.0,Married,Star,4236.84,Standard,2015,6,,
194,410982,Ontario,Trenton,K8V 4B2,Male,Master,132353.0,Married,Star,4237.37,Standard,2017,2,,
195,905213,British Columbia,Vancouver,V6E 3D9,Female,Master,132353.0,Married,Star,4237.37,Standard,2015,10,,
196,147898,Quebec,Tremblant,H5Y 2S9,Female,High School or Below,59849.0,Divorced,Star,4241.64,Standard,2012,8,,
197,530105,Ontario,London,M5B 3E4,Male,College,62572.528699057264,Single,Star,4242.69,Standard,2017,11,2018.0,7.0
198,610946,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,56947.0,Married,Star,4244.47,Standard,2016,12,,
199,383108,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,64497.0,Married,Star,4247.68,Standard,2012,6,,
200,836343,Ontario,Toronto,P1L 8X8,Female,Bachelor,64497.0,Married,Star,4247.68,Standard,2017,4,,
201,110262,Alberta,Edmonton,T9G 1W3,Male,Bachelor,52267.0,Married,Aurora,9427.68,2018 Promotion,2018,2,,
202,585357,Quebec,Quebec City,G1B 3L5,Male,College,62567.72432192435,Single,Star,4250.28,Standard,2016,10,,
203,784804,Alberta,Banff,T4V 1D4,Female,College,65777.72177233303,Single,Star,4250.28,Standard,2015,8,,
204,719633,British Columbia,Victoria,V10 6T5,Male,Bachelor,52109.0,Divorced,Star,4250.78,Standard,2016,12,,
205,715764,Manitoba,Winnipeg,R3R 3T4,Male,College,69359.49226717444,Single,Star,4253.28,Standard,2016,8,,
206,753473,Ontario,Toronto,M2M 7K8,Female,Doctor,70996.0,Single,Star,4254.62,Standard,2013,7,,
207,980856,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,70996.0,Single,Star,4254.62,Standard,2015,2,,
208,271660,British Columbia,Vancouver,V5R 1W3,Male,College,71178.07202486577,Married,Star,4270.03,Standard,2015,4,,
209,342980,Alberta,Peace River,T9O 2W2,Female,Bachelor,69086.0,Single,Aurora,19480.5,2018 Promotion,2018,2,,
210,830547,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,51111.0,Single,Star,4271.2,Standard,2018,5,,
211,264936,British Columbia,Whistler,V6T 1Y8,Female,College,70200.99358014707,Single,Star,4272.81,Standard,2013,8,,
212,436498,Quebec,Montreal,H2T 9K8,Male,College,63626.804797148994,Single,Star,4272.81,Standard,2013,11,2016.0,3.0
213,976513,Quebec,Quebec City,G1B 3L5,Female,Bachelor,92067.0,Married,Star,4273.59,Standard,2014,8,,
214,828776,Ontario,Toronto,P2T 6G3,Male,Bachelor,60899.0,Married,Star,4274.62,Standard,2017,5,,
215,240362,Ontario,Toronto,M2M 7K8,Male,Bachelor,58756.0,Married,Star,4276.36,Standard,2014,10,,
216,137845,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,88445.0,Married,Star,4277.27,Standard,2013,6,,
217,430569,Quebec,Montreal,H2T 9K8,Male,Bachelor,87462.0,Married,Star,4277.56,Standard,2016,10,,
218,317001,Ontario,Trenton,K8V 4B2,Male,Bachelor,61809.0,Married,Star,4282.95,Standard,2018,8,,
219,625870,Ontario,Toronto,P1J 8T7,Female,Bachelor,61809.0,Married,Star,4282.95,Standard,2013,8,,
220,660554,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,61809.0,Married,Star,4282.95,Standard,2017,10,,
221,917630,Ontario,Toronto,P2T 6G3,Female,Bachelor,61809.0,Married,Star,4282.95,Standard,2016,12,,
222,670686,Ontario,Thunder Bay,K8T 5M5,Female,College,65983.14487399974,Single,Star,4291.06,Standard,2018,5,,
223,717660,British Columbia,Vancouver,V1E 4R6,Male,College,68437.78127723969,Single,Star,4293.01,Standard,2015,3,,
224,450621,Quebec,Montreal,H2Y 2W2,Female,Bachelor,77083.0,Married,Star,4296.6,Standard,2015,3,,
